reviewId,userName,content,score,thumbsUpCount,at,days,sentiment_polarity,keywords
3be2ddaf-d604-4a18-92b0-4c9e3d005cf3,Aakash keshawat,i innstagram must hevsusvvsivs hvsisvvsivs hsiisvcisvdgdi usvsisvrcuwisvcdi hsugsvsivvdisjvgsi hhssivshsy usvcsusgec usvfdivvdusvri hveuss8eceisue ihcdisgeduisev jsvdusvxhxidvdisvsi jdhsudvriveueg hd vsisvshsvduv uheveisvshwdv hxusgsscruecsu us jsbshsihdvdj jabssisvrdv hsbedusv avsusvegdi udvecdisvrud usvsisicdisvsi isveuuscjsivrisvee useyycduuwcshceheecx uvdisecueivfc sieiavsysievceueisge uevcedieydisvrg ievecdgcehshsvehs uwdgeushvsuvs hsvqhsisvsusugeywg suwvsvxuducvs vvxs si,5,0,2023-05-06 21:52:07,2023-05-06,0.0,"['avsusvegdi', 'hd', 'hevsusvvsivs', 'hhssivshsy', 'hsbedusv', 'hsiisvcisvdgdi', 'hsugsvsivvdisjvgsi', 'hsvqhsisvsusugeywg', 'hveuss8eceisue', 'hvsisvvsivs', 'hxusgsscruecsu', 'ievecdgcehshsvehs', 'ihcdisgeduisev', 'innstagram', 'isveuuscjsivrisvee', 'jabssisvrdv', 'jdhsudvriveueg', 'jsbshsihdvdj', 'jsvdusvxhxidvdisvsi', 'must', 'si', 'sieiavsysievceueisge', 'suwvsvxuducvs', 'udvecdisvrud', 'uevcedieydisvrg', 'uheveisvshwdv', 'us', 'useyycduuwcshceheecx', 'usvcsusgec', 'usvfdivvdusvri', 'usvsisicdisvsi', 'usvsisvrcuwisvcdi', 'uvdisecueivfc', 'uwdgeushvsuvs', 'vsisvshsvduv', 'vvxs', 'avsusvegdi udvecdisvrud', 'hd vsisvshsvduv', 'hevsusvvsivs hvsisvvsivs', 'hhssivshsy usvcsusgec', 'hsbedusv avsusvegdi', 'hsiisvcisvdgdi usvsisvrcuwisvcdi', 'hsugsvsivvdisjvgsi hhssivshsy', 'hsvqhsisvsusugeywg suwvsvxuducvs', 'hveuss8eceisue ihcdisgeduisev', 'hvsisvvsivs hsiisvcisvdgdi', 'hxusgsscruecsu us', 'ievecdgcehshsvehs uwdgeushvsuvs', 'ihcdisgeduisev jsvdusvxhxidvdisvsi', 'innstagram must', 'isveuuscjsivrisvee useyycduuwcshceheecx', 'jabssisvrdv hsbedusv', 'jdhsudvriveueg hd', 'jsbshsihdvdj jabssisvrdv', 'jsvdusvxhxidvdisvsi jdhsudvriveueg', 'must hevsusvvsivs', 'sieiavsysievceueisge uevcedieydisvrg', 'suwvsvxuducvs vvxs', 'udvecdisvrud usvsisicdisvsi', 'uevcedieydisvrg ievecdgcehshsvehs', 'uheveisvshwdv hxusgsscruecsu', 'us jsbshsihdvdj', 'useyycduuwcshceheecx uvdisecueivfc', 'usvcsusgec usvfdivvdusvri', 'usvfdivvdusvri hveuss8eceisue', 'usvsisicdisvsi isveuuscjsivrisvee', 'usvsisvrcuwisvcdi hsugsvsivvdisjvgsi', 'uvdisecueivfc sieiavsysievceueisge', 'uwdgeushvsuvs hsvqhsisvsusugeywg', 'vsisvshsvduv uheveisvshwdv', 'vvxs si']"
8cfdf3a2-98b3-47b3-8133-ef4cece11973,Alen Joy Jr.,ub i nu,3,0,2023-05-06 21:52:18,2023-05-06,0.0,"['nu', 'ub', 'ub nu']"
01b273dd-1203-4b66-8b7e-3c6d7f8fe843,Nisha Savita,app good,3,0,2023-05-06 21:52:27,2023-05-06,0.7,"['app', 'good', 'app good']"
3117e9ff-4dc1-4649-ba2a-aee197547e8c,Sandeep Yadav,ok,3,0,2023-05-06 21:52:48,2023-05-06,0.5,['ok']
093d6ab4-a9eb-4ec4-838f-d84093a2cc06,Jaynika Rathore,i able change theme new instagram update i receive late notifications kinda messagemany instagram updates even usefull whereas causes trouble users,2,0,2023-05-06 21:53:00,2023-05-06,0.03409090909090909,"['able', 'causes', 'change', 'even', 'instagram', 'kinda', 'late', 'messagemany', 'new', 'notifications', 'receive', 'theme', 'trouble', 'update', 'updates', 'usefull', 'users', 'whereas', 'able change', 'causes trouble', 'change theme', 'even usefull', 'instagram update', 'instagram updates', 'kinda messagemany', 'late notifications', 'messagemany instagram', 'new instagram', 'notifications kinda', 'receive late', 'theme new', 'trouble users', 'update receive', 'updates even', 'usefull whereas', 'whereas causes']"
b8ce5427-c497-4611-9632-8701110c6e96,anuj sheela,anujpooja,5,0,2023-05-06 21:53:05,2023-05-06,0.0,['anujpooja']
5cb66d6c-dd04-47e4-9dfb-19ad97ecf9d2,Kamal Kelwa,nice aap,5,0,2023-05-06 21:53:26,2023-05-06,0.6,"['aap', 'nice', 'nice aap']"
3deccccb-1cd1-46f7-942c-8fdab7d9bf4e,Destioney Pinkham,love app this last update ton bugs andriod users please fix,1,0,2023-05-06 21:53:27,2023-05-06,0.25,"['andriod', 'app', 'bugs', 'fix', 'last', 'love', 'please', 'this', 'ton', 'update', 'users', 'andriod users', 'app this', 'bugs andriod', 'last update', 'love app', 'please fix', 'this last', 'ton bugs', 'update ton', 'users please']"
65d526cf-be75-4386-afc1-7972eed9a5b2,PRAISE VR,not working,1,0,2023-05-06 21:53:29,2023-05-06,0.0,"['not', 'working', 'not working']"
cacce4dd-d650-4b7b-a078-d7dd7b227587,Star family,its like month day since downloaded app bugging cant reply messages emoji reaction dont work theme dont work vanish mode dont worki complained many times still doesnt work i tried many methods still doesnt works,2,0,2023-05-06 21:53:56,2023-05-06,0.2333333333333333,"['app', 'bugging', 'cant', 'complained', 'day', 'doesnt', 'dont', 'downloaded', 'emoji', 'its', 'like', 'many', 'messages', 'methods', 'mode', 'month', 'reaction', 'reply', 'since', 'still', 'theme', 'times', 'tried', 'vanish', 'work', 'worki', 'works', 'app bugging', 'bugging cant', 'cant reply', 'complained many', 'day since', 'doesnt work', 'doesnt works', 'dont work', 'dont worki', 'downloaded app', 'emoji reaction', 'its like', 'like month', 'many methods', 'many times', 'messages emoji', 'methods still', 'mode dont', 'month day', 'reaction dont', 'reply messages', 'since downloaded', 'still doesnt', 'theme dont', 'times still', 'tried many', 'vanish mode', 'work theme', 'work tried', 'work vanish', 'worki complained']"
