reviewId,userName,content,score,thumbsUpCount,at,days,sentiment_polarity,keywords
8a4c59d3-3168-4650-b0bc-f8877960d6bd,Suvajit Giri,nice game,1,0,2023-06-09 15:59:58,2023-06-09,0.09999999999999998,"['game', 'nice', 'nice game']"
493156dc-da20-48a5-942a-4227fffe57d0,ARABIN PASHA,i love itawesome,5,0,2023-06-09 16:01:20,2023-06-09,0.5,"['itawesome', 'love', 'love itawesome']"
3ca85a09-a90b-4d6d-aecb-eed9fb79694a,labu labi,awesome games,5,0,2023-06-09 16:01:30,2023-06-09,1.0,"['awesome', 'games', 'awesome games']"
fc29acc2-69b3-491a-9b51-c202db62d041,Geeta Pathak,one best mobile game ever created,5,0,2023-06-09 16:02:33,2023-06-09,0.3,"['best', 'created', 'ever', 'game', 'mobile', 'one', 'best mobile', 'ever created', 'game ever', 'mobile game', 'one best']"
7beafd5e-cab7-4651-ad74-17fd1db658f9,HAMID Kham,i love clash clans,5,0,2023-06-09 16:02:34,2023-06-09,0.5,"['clans', 'clash', 'love', 'clash clans', 'love clash']"
ba70a2ee-0bbc-46b6-b39a-63c748714b3f,Mridul Biswas (MB),you guys destroy builder base,5,0,2023-06-09 16:03:16,2023-06-09,-0.5,"['base', 'builder', 'destroy', 'guys', 'you', 'builder base', 'destroy builder', 'guys destroy', 'you guys']"
42e55ba5-6dfa-42b9-adc9-f03371b3c28b,Aykut Yilmaz,crashes android 14 beta 3 since beta 1 3 months please fix android 14 reached platform stability time fix game,1,1,2023-06-09 16:03:58,2023-06-09,-0.4,"['14', 'android', 'beta', 'crashes', 'fix', 'game', 'months', 'platform', 'please', 'reached', 'since', 'stability', 'time', '14 beta', '14 reached', 'android 14', 'beta months', 'beta since', 'crashes android', 'fix android', 'fix game', 'months please', 'platform stability', 'please fix', 'reached platform', 'since beta', 'stability time', 'time fix']"
78e98058-2044-4d86-9c4e-6b75600faaca,Sridhars Sridhars,sns na nsnsnss ishttam la la ur iq iq ur iq poor know time uhhhh h ya geg h ur un u,5,0,2023-06-09 16:04:46,2023-06-09,-0.4,"['geg', 'iq', 'ishttam', 'know', 'la', 'na', 'nsnsnss', 'poor', 'sns', 'time', 'uhhhh', 'un', 'ur', 'ya', 'geg ur', 'iq iq', 'iq poor', 'iq ur', 'ishttam la', 'know time', 'la la', 'la ur', 'na nsnsnss', 'nsnsnss ishttam', 'poor know', 'sns na', 'time uhhhh', 'uhhhh ya', 'ur iq', 'ur un', 'ya geg']"
4297da6b-c745-4aa5-b608-cc22d8cea0b6,Somnik Majumder,nice game,5,0,2023-06-09 16:08:25,2023-06-09,0.09999999999999998,"['game', 'nice', 'nice game']"
73021c48-86f3-4546-b616-e19eb76a003b,Rakhaharii Majhi,good game child,1,0,2023-06-09 16:10:33,2023-06-09,0.14999999999999997,"['child', 'game', 'good', 'game child', 'good game']"
cffc5a1f-b3f1-4ff8-922a-e880ef3be207,Debojyoti Rej,childhood emotions,5,0,2023-06-09 16:11:12,2023-06-09,0.0,"['childhood', 'emotions', 'childhood emotions']"
