reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
910d0eb6-23a3-4279-bb2e-6fc709227384,Rahul Singh,SINGH UID PN RAHUL777 THE TWO HE❤RT dedicated to😛😍 😍🤮discerning journey 💖🙏💞👿 ‌IF want Every Happy Healthy Progressive Then is🥰 Necessary Every onw tobe 💪😆😆😄😠😠💔💯💯💯😘😉🥰😍🙄🤨😨😨😨🙁😕😟🙄🥺😮😯🥴😷🤧🤮🚵🤾⛹️⛹️🧗🤼🏃,5,0,,2023-05-04 10:15:24,,
efc51782-9936-452a-92a4-aa9587dcd268,Tuhin Khan,Good,5,0,411.1.0.29.112,2023-05-04 10:14:59,,
886660f8-24ea-4646-a3fc-68508183f62c,Jatt Jatt,Yas,5,0,,2023-05-04 10:14:50,,
c7e25edb-cfac-4000-a06d-e845b33242bb,Lakhindra Kumar,Gosckw,5,0,,2023-05-04 10:14:48,,
3fec386a-f9e5-4c3c-8a64-013a42d15f01,Game Related,Meow meow 5 star,5,0,,2023-05-04 10:14:24,,
e517e41b-ff00-4f51-8069-9f427b501267,RUDER BHATI,MOST USEFUL APPLICATION,5,0,412.0.0.22.115,2023-05-04 10:12:58,,
aacfaa04-dbfd-4e9a-bc02-3afb475343a8,Khokan Sutradhar,Kutta bacharach sala gotata hote de,5,0,412.0.0.22.115,2023-05-04 10:12:17,,
d5af6cf6-59fd-4ffe-b311-d82cd0849ce4,Manoj kumar,Bgmi bug issue ko clear kar,5,0,412.0.0.22.115,2023-05-04 10:11:16,,
b85966c8-0ba8-415c-8836-3a3f4c05b3c9,Jane Salvante,Good,5,0,124.0.0.22.66,2023-05-04 10:10:00,,
d36eb921-a80c-4395-87ca-1c243fda6721,Alka Saini,Wonderful app Iam happy 😊😊,4,0,,2023-05-04 10:09:57,,
e3342fe5-b963-4e73-a490-c08ad03dd77d,Raja Babu,Nice फ्रॉम,5,0,412.0.0.22.115,2023-05-04 10:09:19,,
7060787c-1784-4005-964b-179e5300703c,Sebastian B,👍,5,0,,2023-05-04 10:07:57,,
e0637324-1d3f-4dbe-8e4a-41c91ca03e6b,Sakebboll Sahen,Nice,5,0,,2023-05-04 10:07:09,,
a023d45b-4fc8-457d-ba40-790cf2c678f8,Nadirah Bevi,I really like Facebook give info COVID19 countries,5,0,412.0.0.22.115,2023-05-04 10:07:08,,
8cd1250f-e29f-4faf-b3a2-68d35aa9b4ce,tengsrang r marak,Nice,5,0,411.1.0.29.112,2023-05-04 10:06:37,,
817e8f44-6bc0-437a-9860-fe276815d893,Olivia Hyeju,Easily connected people around globe,5,0,,2023-05-04 10:06:00,,
3314d323-3501-47d9-b47b-2883d8ef3455,Sonali Powar,Lyft Garrett heź554a4ve ralso START 3gypzxxs4,5,0,412.0.0.22.115,2023-05-04 10:05:37,,
6e47233f-5737-4139-9242-de66c17f1dfb,kakhaber gelovani,Maybe add silver gray green theme addition dark light themes Green color friendly eyes,3,0,412.0.0.22.115,2023-05-04 10:05:33,,
e105f8be-d9d9-41a2-aa51-3575a40e3c7b,FIAYZ AHMED,Hidden ids find,5,0,411.1.0.29.112,2023-05-04 10:04:41,,
ad1ae591-90f3-4162-9dbb-bb26c45c7cb0,NISHANTH.D,good one log pubg mobile,5,0,412.0.0.22.115,2023-05-04 10:04:11,,
6a064436-3de7-4c51-b9db-5a6ebf00c602,Madhu Bagam,Super,5,0,,2023-05-04 10:03:00,,
1464acae-e94f-44ae-8acc-9ec120a6596a,Sandeep Chawariya,Sandeep sanvariya,5,0,,2023-05-04 10:02:50,,
84fefd7f-12ba-443e-b4b3-dda9d768e99c,Soum Indian,Stay away app waste time,1,0,412.0.0.22.115,2023-05-04 10:02:13,,
55e989cb-3912-49cc-91ab-d3a039226832,Suhel rana,Very good app🥰,5,0,,2023-05-04 10:01:39,,
1900e009-2652-4d39-8fc0-d0521e18f642,manisha mahanandia,Nice,5,0,412.0.0.22.115,2023-05-04 10:01:00,,
67a38460-743e-4f63-a52f-b1f482f7f60d,shubham vyas,This app freefire use anothr work,5,0,405.1.0.28.72,2023-05-04 09:59:36,,
8af3b76c-a03c-43b6-9dd0-5875e88ccd1b,Chotu Kumar,Supper,5,0,413.0.0.30.104,2023-05-04 09:58:26,,
b0b82d2b-9a5c-4b62-bd0b-5dca673a595a,Badhon 001,A cant login account,1,0,412.0.0.22.115,2023-05-04 09:57:36,,
d56e5f74-c9aa-4092-b1b7-7c4256914976,Katie Bulen,Wont let edit delete posts memories My music wont load One daughters scrapbooks pictures wont load My video shortcut gone toolbar wont come back Ads terrible fix Shortcut bar wont show icons I want pinned,1,51,412.0.0.22.115,2023-05-04 09:57:29,,
61d52f63-cdf6-4ba5-b014-3f6319de1aaa,Rahul Kumar jadam,Ghhhijsg boliye na mere pass new 🆕,5,0,412.0.0.22.115,2023-05-04 09:56:18,,
4fa248cb-5081-453f-9269-471028f2d96f,Md Tuhin,Op ap,5,0,,2023-05-04 09:54:58,,
4cebfe73-4ed1-461d-aee3-7b6b95e57a5d,Gracelda Batiller Tupas,So big mb used phonesit takes big data phoneespwhen internet slow also,2,0,410.0.0.26.115,2023-05-04 09:54:49,,
c1732e65-4819-4067-9e82-278d77ab40fd,HAWK GAMING,Login failed showing I try login Id battleground mobile India Facebook book,1,0,413.0.0.30.104,2023-05-04 09:53:39,,
5b745c2c-18fd-4a39-8e66-6fe33733c34f,Sdf Xd,Nice,5,0,,2023-05-04 09:53:05,,
d9cfb58f-afcf-472b-bf06-aff522a70690,Myla Dollente,Bwesit nmn Facebook App ano ba yang mga update mo nakakairita Asan mo ba senesend ang code nahack na account ko pano yun nangyari email ko nalagay dun tpos di q na maaccess ang sarili kong account gawan nyu ng paraanmahalaga sakin account ko kase ginagamit ko yun sa paghahanap buhay Ayusin nyu nmn🤬,1,0,396.1.0.28.104,2023-05-04 09:52:14,,
1c7a3614-fb3e-41e9-b18c-8e268101f898,Kushal Pyakurel,Lots bug Reaction comment post limit issues,1,0,405.0.0.23.72,2023-05-04 09:51:40,,
585bd6c7-c185-42aa-826f-4ff7039fa3c4,Shahid Khan,Jis candom board,5,0,413.0.0.30.104,2023-05-04 09:51:32,,
45430d22-faab-4305-8e01-0e389e563116,Raj Kumar,Sahib khan,5,0,,2023-05-04 09:51:31,,
