reviewId,userName,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
79ab874e-2e8e-431b-ac80-4461a4c9c343,UMAR SHAHZAD,Instagram best time pass😇😇😇😇,4,0,,2023-05-07 11:18:36,,
7bc22d33-f75b-423a-aa9f-c0b6107dfa05,Yesh Ashwini,Awesome app,5,0,273.0.0.16.72,2023-05-07 11:18:26,,
430595b3-28a3-45fb-81a7-29e4a8b630f2,Sahil Ahirwar,Good,5,0,275.0.0.27.98,2023-05-07 11:18:17,,
1441a4e3-8a2e-45be-82cf-5bbc85556f07,Zuhaib Khan,The Instagram community says I gone rules regulations even though I havent Nonetheless asking reset password I But I dont remember past past password I trying reset Instagram brakes gets backs vica versa,1,0,281.0.0.19.105,2023-05-07 11:17:25,,
86ea595b-a89c-439f-9961-b2f5d266a6e7,Deepak kumar Prajapati,Nice👍,4,0,281.0.0.19.105,2023-05-07 11:17:13,,
3a23ab20-f70e-475f-a2e5-a185b41012ae,Sohan Kumar,Poor boy,5,0,267.0.0.18.93,2023-05-07 11:17:13,,
b5a71c04-3e11-4264-91f3-483a1b89edbd,Bhavaniprasad #143,Nice,5,0,256.0.0.18.105,2023-05-07 11:17:12,,
ae25dc60-1f79-4a98-9db4-a2fa6386d396,Dinesh Kumar Kumawat,Best,5,0,280.0.0.18.114,2023-05-07 11:17:10,,
a8d3aeb0-83f8-451c-ad1c-9aadce9989ea,Arun Jha,Nice 👍🙂 mere followers 10k 2din Ho gaye,5,0,,2023-05-07 11:17:08,,
fa29623a-7958-4e2a-be8d-70384f5737fa,AKEEL AHEMAD ANSARI,Good,5,0,280.0.0.18.114,2023-05-07 11:16:56,,
7553f7d3-56da-4cb1-92c5-e6b7bfced721,Montelll Kity,Nice,5,0,281.0.0.19.105,2023-05-07 11:16:54,,
9a9740ed-d385-4403-a360-901e170c17ca,Shin X3,Sometimes losing followers I dont know sometimes reel struck also So many bugs updated,4,0,281.0.0.19.105,2023-05-07 11:16:54,,
5222b866-ba0e-4931-8e23-67c3ddc75896,Sakila Jamila,Zara khan,1,0,281.0.0.19.105,2023-05-07 11:16:53,,
b61560c9-da63-4b4b-a707-c65510247710,Amena Fatima,Good App share daytoday enjoyments others,5,0,273.1.0.16.72,2023-05-07 11:16:45,,
3c41b9b7-8008-43e5-a5a8-4b216f15c9eb,Pavi Kutty,Good,5,0,,2023-05-07 11:16:40,,
0496f77a-7f5a-4de7-a210-0420cfe21c8d,Rani Sharma,Reels nhi aa rha h,3,0,280.0.0.18.114,2023-05-07 11:16:35,,
ded7b24d-f36c-4262-9906-367caedc1c4e,Swastik Industries,Nice Instagram,1,0,281.0.0.19.105,2023-05-07 11:16:09,,
ae2477ff-ef48-4613-bfc0-0dbf1b953f9e,HARISH GOUD (CHINTU),Worst appp waste time,5,0,279.0.0.23.112,2023-05-07 11:15:38,,
e969b5ff-8ca1-43f3-b269-1f35e19bd092,Neivisalie Kuosa,Good app spend quality time,5,0,281.0.0.19.105,2023-05-07 11:15:11,,
0f83955a-5a3e-4b71-8c7f-fe204169ce58,Puja Kumari,Nice,5,0,,2023-05-07 11:15:07,,
